,Protein,0mo_NPX,3mo_NPX,6mo_NPX,12mo_NPX,18mo_NPX,24mo_NPX,30mo_NPX,36mo_NPX,48mo_NPX,54mo_NPX,60mo_NPX
0,O00391,11808.900000000001,12481.25,12091.2,11270.0,11738.7,11779.9,13202.8,11500.4,11421.75,12283.599999999999,11368.0
1,O00533,536920.0,510061.0,485521.0,467822.0,511229.5,498113.0,410685.0,487316.5,466472.0,985396.0,455366.5
2,O00584,26289.0,26801.2,26506.550000000003,25593.5,25115.1,26584.65,18847.0,26141.9,28194.8,37066.85,28071.199999999997
3,O14498,26773.5,23465.8,25863.8,26840.0,24525.7,26283.7,25230.0,27471.3,27325.85,37525.05,25736.6
4,O14773,17466.3,18447.3,17240.9,17714.4,17852.0,17772.6,19581.8,17497.3,17099.8,12164.175,16805.6
5,O14791,2784.4,3611.16,2714.0550000000003,3002.71,2958.05,2858.94,2712.69,2959.39,2785.6099999999997,3531.475,3089.24
6,O15240,123209.5,128747.0,120151.0,120477.5,120118.5,121944.0,82990.3,101701.0,108521.5,137546.75,114866.0
7,O15394,53264.4,51289.0,51916.7,46353.7,36110.55,52548.0,49432.7,48890.9,49223.5,49879.9,50823.1
8,O43505,192036.5,169231.0,178947.0,185235.0,180416.5,186689.0,95687.9,187435.5,188945.0,212993.5,175103.5
9,O60888,140994.5,165616.0,137081.0,131745.0,145456.0,138910.0,126291.0,133995.0,139122.0,206317.4,131673.0
10,O75144,79617.1,84186.1,77275.65,72724.3,77356.7,78403.75,22648.0,80598.75,79896.2,122564.6,72014.15
11,O75326,6618.23,4545.065,7076.97,6122.22,7510.72,6388.41,,6637.5,6133.98,5235.965,6139.68
12,O94919,33955.4,32937.2,32818.95,34406.8,46325.600000000006,35203.399999999994,46210.6,36114.0,34957.7,80046.7,34710.0
13,P00441,45866.3,51125.9,44767.5,38609.1,50728.15,44165.5,28410.7,45107.100000000006,43422.8,93311.3,41392.5
14,P00450,992108.5,1011040.0,989930.5,980373.5,1067525.0,970796.0,1461230.0,988484.0,986226.5,872108.5,1009075.0
15,P00734,685491.5,716944.0,679973.5,689560.0,644119.5,684314.0,906736.0,685387.5,680075.0,818397.5,680568.0
16,P00736,72096.5,87487.5,73649.0,75061.2,76071.15,75581.2,94371.7,78801.95000000001,78993.45000000001,112863.15,76027.2
17,P00738,2910135.0,2449700.0,2603895.0,2701800.0,2865725.0,2974600.0,15353500.0,2826025.0,2963680.0,2502630.0,2599980.0
18,P00746,102333.0,105603.0,102556.5,100522.0,137704.0,103922.0,140795.0,105331.0,108393.0,92469.95,107758.5
19,P00747,346552.0,341132.0,343910.0,338466.0,311199.5,349565.0,510768.0,352316.0,335901.0,339061.5,337919.5
20,P00748,78256.1,69607.5,74201.54999999999,76255.3,86844.25,78137.1,88567.6,77814.35,80492.54999999999,92611.45,74339.15
21,P00751,490134.5,489461.0,480081.0,474160.0,531729.5,491419.0,678610.0,492595.0,491773.5,430994.0,499397.0
22,P01008,2516085.0,1995850.0,2463580.0,2472640.0,2680695.0,2561370.0,2745260.0,2511330.0,2510545.0,2877430.0,2539030.0
23,P01009,11924200.0,11053000.0,11564450.0,11934600.0,13321700.0,12246800.0,12828400.0,12318400.0,12230100.0,20812050.0,12327150.0
24,P01011,1384825.0,1118780.0,1424920.0,1397970.0,1481040.0,1450490.0,1430670.0,1498910.0,1440300.0,1343625.0,1428365.0
25,P01019,1535000.0,1635270.0,1579290.0,1447040.0,1482090.0,1500430.0,1067240.0,1574410.0,1532435.0,1295025.0,1491315.0
26,P01023,1350310.0,1525310.0,1351410.0,1328570.0,1493910.0,1364230.0,1620320.0,1389930.0,1374590.0,1040095.0,1350035.0
27,P01024,3431010.0,3060540.0,3498105.0,3472095.0,3559845.0,3545150.0,4059900.0,3625530.0,3490805.0,2904535.0,3634360.0
28,P01031,10575.6,9942.835,10463.9,10533.4,11531.75,10803.6,16505.9,10881.4,10686.2,9318.82,10891.8
29,P01033,79746.29999999999,72631.2,78228.9,79167.4,82019.7,80430.5,111448.0,84207.3,81403.1,84309.85,77097.85
30,P01034,20889800.0,23802200.0,19779550.0,19507900.0,26168000.0,21178500.0,21559800.0,20703300.0,21178000.0,25119150.0,19613800.0
31,P01042,1011350.0,1173960.0,990009.5,996112.5,1001597.0,995973.0,1252830.0,995013.0,992167.0,1218521.0,1060980.0
32,P01344,99641.3,87799.2,96832.7,95988.4,91888.45000000001,95906.2,89021.3,98310.1,98551.75,145269.6,91918.75
33,P01591,11030.0,15624.0,11638.1,9527.43,11987.4,10697.0,15260.8,10528.849999999999,12198.95,15511.25,10307.3
34,P01608,13561.7,17132.6,12776.0,13153.0,11927.6,13125.7,,13302.7,12925.0,17943.535,11835.0
35,P01621,173976.0,156819.0,156060.0,162062.5,160314.5,163529.0,222128.0,159158.0,160938.5,198300.5,159470.0
36,P01717,120075.5,83141.9,115938.0,109829.0,86115.2,112833.0,159728.0,111602.0,110076.5,171172.0,108850.5
37,P01780,11559.0,13165.1,11537.8,11174.4,9314.35,10810.35,14399.8,12529.75,11102.15,4650.41,11334.5
38,P01833,3768555.0,4428420.0,3521135.0,3747530.0,3738105.0,3643085.0,3584930.0,3640260.0,3748000.0,4025420.0,3836370.0
39,P01834,2574760.0,4130140.0,2616220.0,2574215.0,2089745.0,2513270.0,3315850.0,2598090.0,2556930.0,3612715.0,2591740.0
40,P01857,5045940.0,4721250.0,5076840.0,5122650.0,4609060.0,5035170.0,5794420.0,5031370.0,5050080.0,6121025.0,5097145.0
41,P01859,2089100.0,3199440.0,2089030.0,2055025.0,1473180.0,1989270.0,4608880.0,2004550.0,2035615.0,2750490.0,2048595.0
42,P01860,479016.5,323966.0,504291.0,461594.0,534766.5,466349.0,973218.0,490565.0,465343.0,684014.0,465523.0
43,P01861,60239.05,130523.0,69013.75,68509.7,102241.9,65653.75,29328.7,57528.0,65452.35,187628.0,63276.55
44,P01876,2492695.0,3603610.0,2358530.0,2358345.0,1629895.0,2375230.0,3545890.0,2417620.0,2391360.0,2814765.0,2144270.0
45,P01877,76156.5,135289.0,75067.85,68389.1,85559.70000000001,76053.4,33915.8,64451.1,73787.35,104805.85,68839.75
46,P02452,44003.9,51212.9,43111.7,40214.95,40520.25,41426.8,46223.1,45455.1,43613.3,77130.4,42878.95
47,P02647,10751200.0,10266600.0,10967300.0,11149100.0,13847200.0,10734500.0,19302700.0,10841900.0,11362800.0,15000700.0,10570400.0
48,P02649,10014975.0,14717800.0,10687650.0,9438755.0,13428400.0,10194800.0,8797390.0,9834180.0,10760600.0,10978225.0,10755500.0
49,P02652,587370.0,717936.0,559565.5,603673.0,640048.0,583054.0,517816.0,543049.5,542011.5,846077.5,553492.0
50,P02655,26216.5,17884.4,25675.7,25052.2,21231.5,24752.3,,24869.2,22925.3,,23495.8
51,P02656,98386.79999999999,103882.0,98020.65,97135.35,85680.6,96949.0,134086.0,90514.25,94999.5,118639.0,96504.29999999999
52,P02671,550278.5,546010.0,567090.0,558855.5,531040.5,555215.0,1057290.0,562696.5,610479.0,882522.0,615538.0
53,P02675,524886.5,550145.0,545019.5,526616.5,564598.0,546978.0,1067480.0,534565.0,561612.0,771652.5,577623.0
54,P02679,168843.5,163453.0,172241.5,170396.0,168979.0,172780.0,321442.0,175566.0,185258.0,215257.0,187430.5
55,P02747,133561.5,126087.0,128943.0,128311.5,167567.0,127423.0,142014.0,129748.0,133421.0,141283.5,128598.0
56,P02748,104103.0,112243.0,105428.0,104766.0,108410.5,108915.0,215860.0,108939.0,111837.0,100359.0,115340.5
57,P02749,1115755.0,1287500.0,1101660.0,1132755.0,1242085.0,1141580.0,1305250.0,1154320.0,1141075.0,1612015.0,1145485.0
58,P02750,211508.0,140038.0,208511.0,209724.5,241969.0,216174.0,322071.0,216748.0,223957.0,251784.0,225282.0
59,P02751,1565390.0,1940040.0,1536265.0,1511605.0,1454590.0,1520450.0,2348180.0,1557810.0,1544510.0,1439205.0,1579680.0
60,P02753,438858.0,478746.0,441942.0,440857.5,445983.5,443966.0,360257.0,429814.0,432615.0,380594.0,441008.0
61,P02760,353264.5,288018.0,336397.0,338647.0,388855.0,350553.0,470904.0,343191.0,357853.0,393633.0,349067.0
62,P02763,4517055.0,4955880.0,4625490.0,4835430.0,6278115.0,4861940.0,5998830.0,4699020.0,4848585.0,6659590.0,4596280.0
63,P02765,2420210.0,2735290.0,2353960.0,2413455.0,2783345.0,2315900.0,3627950.0,2346580.0,2347920.0,2869005.0,2326095.0
64,P02766,18148350.0,20785900.0,17438300.0,18410900.0,20111850.0,19003800.0,28644700.0,19389300.0,17955250.0,42560400.0,17566400.0
65,P02768,308514000.0,316853000.0,302075000.0,306286000.0,288792500.0,306550000.0,307572000.0,310372000.0,301038500.0,291326000.0,299694000.0
66,P02774,2998950.0,2168550.0,3042880.0,2933960.0,2590335.0,2958140.0,3483590.0,2958460.0,2941815.0,4062595.0,2927680.0
67,P02787,31017800.0,32813100.0,33001750.0,31171550.0,32345300.0,31934200.0,36350100.0,31515700.0,31052200.0,29791750.0,32600800.0
68,P02790,4768010.0,4020360.0,4837345.0,4651620.0,4898645.0,4892740.0,6971320.0,5014910.0,4877575.0,4452135.0,5062925.0
69,P04004,1112645.0,1042350.0,1097040.0,1107510.0,987213.0,1111005.0,1622430.0,1109755.0,1066335.0,1213655.0,1076620.0
70,P04075,21055.85,19832.1,22082.3,20252.6,24086.949999999997,21533.4,21871.0,20960.05,21214.45,19723.45,21212.550000000003
71,P04156,341014.5,241696.0,328985.5,318396.5,378149.0,343891.0,467504.0,321153.0,335653.5,649536.5,332719.5
72,P04180,68979.8,71436.8,67525.15,65647.3,67726.75,66052.5,62736.7,66070.35,65299.55,56757.8,66061.1
73,P04196,200249.0,157508.0,203348.0,200324.5,226918.5,201317.0,336942.0,204577.0,203649.0,176179.0,207483.5
74,P04207,78265.3,74469.8,77483.6,76009.25,70346.0,75756.0,114657.0,79297.1,79547.5,87972.25,77693.25
75,P04211,27193.85,33804.4,27389.199999999997,26352.85,33062.7,25335.0,28954.7,26972.8,24356.1,24458.25,25684.75
76,P04216,137812.0,90790.6,138425.0,131064.0,149511.0,133425.0,73110.5,130625.0,137419.0,142803.9,128743.5
77,P04217,1428090.0,1230750.0,1393495.0,1395400.0,1411635.0,1406670.0,1779220.0,1414200.0,1427125.0,1461250.0,1421585.0
78,P04275,429540.0,403893.0,431058.0,424754.5,396652.0,419874.0,360163.0,450570.0,421253.0,544101.0,391737.0
79,P04406,13366.25,13560.7,13933.8,13760.5,13011.4,14509.15,20849.3,13309.6,14332.55,15618.300000000001,14168.4
80,P04433,565566.0,464109.0,567786.0,556172.0,491174.0,563293.0,898110.0,562291.5,558745.5,725652.0,561341.5
81,P05060,251366.0,252439.0,245820.0,235735.0,230508.0,227742.0,276771.0,241479.0,236637.5,302228.0,215837.5
82,P05067,895250.0,688577.0,794791.0,785210.5,864852.5,858975.0,740685.0,812645.0,852030.0,844175.0,786548.0
83,P05090,5322440.0,5747990.0,5187215.0,5333345.0,5722110.0,5485710.0,4793170.0,5812510.0,5355360.0,7422040.0,5182420.0
84,P05155,855893.0,879834.0,898214.5,848371.0,1053624.5,874993.0,561431.0,899232.5,901544.0,1041537.5,875623.5
85,P05156,85358.75,91091.1,84930.85,83778.4,83439.35,84959.7,93331.9,87066.25,88907.2,103787.05,84185.35
86,P05408,5529.63,4160.9,5335.93,5567.39,5332.18,5719.93,3698.7,4935.655000000001,5700.21,6278.11,5227.99
87,P05452,315943.0,275412.0,307480.5,297456.0,308909.0,313796.0,283218.0,316674.5,308506.0,394892.0,308320.0
88,P05546,88741.5,63687.05,87604.1,87161.20000000001,86408.0,87869.4,104274.0,85821.5,83600.3,56554.9,85802.4
89,P06310,13241.9,17295.4,12995.2,12473.95,14015.900000000001,12613.8,18729.1,13811.7,12445.7,9153.460000000001,13475.65
90,P06396,1941475.0,2010260.0,1993315.0,1924080.0,2221410.0,2036900.0,2062950.0,2006180.0,2006730.0,1605845.0,2019565.0
91,P06454,23033.1,16141.0,23388.1,23979.5,23043.6,23622.5,22730.0,23088.9,22952.5,26255.4,22999.05
92,P06681,76144.3,79524.4,77633.8,76464.0,82505.54999999999,76890.1,91033.1,80173.6,78917.15,91038.45,79873.54999999999
93,P06727,506348.0,590276.0,487546.5,519472.5,625447.5,523953.5,526590.0,508037.0,527749.0,769247.0,556920.5
94,P07195,7252.255,8639.45,6765.54,6624.525,6713.16,7468.56,5929.83,6813.7,7184.97,6826.05,6994.785
95,P07225,120520.0,133056.0,120817.5,117361.0,121744.0,120627.0,117074.0,121620.5,118553.0,126435.3,119658.0
96,P07333,32915.2,39480.8,31990.3,32381.15,27392.5,31466.1,23395.6,31965.7,33747.55,47892.450000000004,38759.850000000006
97,P07339,285045.0,227030.0,277344.5,290245.0,263927.5,300345.0,253295.0,293697.5,281333.0,285368.5,307059.0
98,P07602,1098765.0,903785.0,1068695.0,1047275.0,963651.0,1110180.0,1193960.0,1081210.0,1083060.0,1561611.5,1037635.0
99,P07711,37281.4,36931.4,35808.35,35289.75,34689.7,35270.5,42866.7,37272.0,37172.6,35857.85,34822.6
100,P07858,34572.55,36443.6,33178.1,32183.1,33042.25,34078.1,55433.1,33163.7,33849.0,35313.8,32667.85
101,P07998,773572.5,710498.0,763646.0,715339.5,858670.0,761659.0,654597.0,749518.0,727260.0,1913135.5,720235.0
102,P08123,17409.75,23506.55,17806.85,17505.6,19216.2,17266.15,,17814.800000000003,18223.65,24301.4,19199.15
103,P08133,53351.6,43599.6,51358.6,49319.8,54304.5,49178.7,60125.9,51732.45,51867.8,71945.79999999999,51252.6
104,P08253,18423.1,19902.3,17589.8,17823.7,15888.2,18430.5,20029.3,17483.65,18290.8,13931.050000000001,18798.1
105,P08294,569660.5,423328.0,567557.0,585957.0,442535.5,567245.0,291506.0,559088.5,555836.5,986961.0,580787.5
106,P08493,55864.6,52590.9,56249.7,56957.1,71653.6,60605.0,84438.8,58940.3,58129.0,62187.100000000006,58190.3
107,P08571,343943.5,345512.0,332464.0,339625.5,345612.5,351676.0,356791.0,355138.5,359454.5,479448.0,342153.0
108,P08603,1160360.0,1198340.0,1141135.0,1155375.0,1223210.0,1140020.0,1407800.0,1187240.0,1171145.0,1233750.0,1141410.0
109,P08637,29144.1,40942.2,28700.2,27018.4,29530.85,27581.2,19650.3,27261.95,27715.0,47934.85,28206.45
110,P08697,258505.0,193566.0,242895.5,250436.5,240052.5,249107.0,270995.0,251550.0,247646.0,352410.5,254462.0
111,P09104,6879.2,4884.91,6708.85,6428.58,6674.425,6719.955,5259.19,6897.23,7038.98,4299.99,6335.54
112,P09486,130379.0,159648.0,132080.5,126600.0,121893.5,131995.0,139908.0,127394.5,129895.0,188453.1,132885.0
113,P09871,257448.0,188838.0,260980.5,255915.5,297516.0,275664.0,332534.0,280317.5,269629.5,251017.0,262620.5
114,P10451,321211.0,328670.0,286764.5,309170.0,390910.0,340975.0,303459.0,313290.0,314173.0,517717.5,304217.0
115,P10643,96419.25,92620.4,96274.65,100434.0,121196.0,104177.5,136540.0,103717.0,103989.0,97629.4,100168.85
116,P10645,391947.5,410515.0,358031.5,352753.5,420923.5,355635.0,458699.0,353659.0,387853.0,482869.0,380872.0
117,P10909,7670795.0,8947980.0,7329525.0,7535725.0,7986560.0,7751270.0,6576270.0,7694060.0,7704280.0,9688785.0,7535815.0
118,P11142,67148.2,74728.8,66692.1,69201.7,71413.2,65976.2,79586.7,67714.45,65514.5,80090.2,67714.9
119,P11277,74916.4,61768.6,73327.1,73026.65,60198.25,71653.15,59607.0,78280.2,77160.5,64931.649999999994,69658.2
120,P12109,72044.2,59814.9,74476.0,67830.9,67151.35,71464.2,78030.2,69947.20000000001,68502.70000000001,58967.25,71934.9
